county,fips,pop1900,pop1910,pop1920,pop1930,pop1940,pop1950
Adams,8001,NA,8892,14430,20245,22481,40234
Alamosa,8003,NA,NA,5148,8602,10484,10531
Arapahoe,8005,153017,10263,13766,22647,32150,52125
Archuleta,8007,2117,3302,3590,3204,3806,3030
Baca,8009,759,2516,8721,10570,6207,7964
Bent,8011,3049,5043,9705,9134,9653,8775
Boulder,8013,21544,30330,31861,32456,37438,48296
Chaffee,8015,7085,7622,7753,8126,8109,7168
Cheyenne,8017,501,3687,3746,3723,2964,3453
Clear Creek,8019,7082,5001,2891,2155,3784,3289
Conejos,8021,8794,11285,8416,9803,11648,10171
Costilla,8023,4632,5498,5032,5779,7533,6067
Crowley,8025,NA,NA,6383,5934,5398,5222
Custer,8027,2937,1947,2172,2124,2270,1573
Delta,8029,5487,13688,13668,14204,16470,17365
Denver,8031,NA,213381,256491,287861,322412,415786
Dolores,8033,1134,642,1243,1412,1958,1966
Douglas,8035,3120,3192,3517,3498,3496,3507
Eagle,8037,3008,2985,3385,3924,5361,4488
Elbert,8039,3101,5331,6980,6580,5460,4477
El Paso,8041,31602,43321,44027,49570,54025,74523
Fremont,8043,15636,18181,17883,18896,19742,18366
Garfield,8045,5835,10144,9304,9975,10560,11625
Gilpin,8047,6690,4131,1364,1212,1625,850
Grand,8049,741,1862,2659,2108,3587,3963
Gunnison,8051,5331,5897,5590,5527,6192,5716
Hinsdale,8053,1609,646,538,449,349,263
Huerfano,8055,8395,13320,16879,17062,16088,10549
Jackson,8057,NA,1013,1340,1386,1798,1976
Jefferson,8059,9306,14231,14400,21810,30725,55687
Kiowa,8061,701,2899,3755,3786,2793,3003
Kit Carson,8063,1580,7483,8915,9725,7512,8600
Lake,8065,18054,10600,6630,4899,6883,6150
La Plata,8067,7016,10812,11218,12975,15494,14880
Larimer,8069,12168,25270,27872,33137,35539,43554
Las Animas,8071,21842,33643,38975,36008,32369,25902
Lincoln,8073,926,5917,8273,7850,5882,5909
Logan,8075,3292,9549,18427,19946,18370,17187
Mesa,8077,9267,22197,22281,25908,33791,38974
Mineral,8079,1913,1239,779,640,975,698
Moffat,8081,NA,NA,5129,4861,5086,5946
Montezuma,8083,3058,5029,6260,7798,10463,9991
Montrose,8085,4535,10291,11852,11742,15418,15220
Morgan,8087,3268,9577,16124,18284,17214,18074
Otero,8089,11522,20201,22623,24390,23571,25275
Ouray,8091,4731,3514,2620,1784,2089,2103
Park,8093,2998,2492,1977,2052,3272,1870
Phillips,8095,1583,3179,5499,5797,4948,4924
Pitkin,8097,7020,4566,2707,1770,1836,1646
Prowers,8099,3766,9520,13845,14762,12304,14836
Pueblo,8101,34448,52223,57638,66038,68870,90188
Rio Blanco,8103,1690,2332,3135,2980,2943,4719
Rio Grande,8105,4080,6563,7855,9953,12404,12832
Routt,8107,3661,7561,8948,9352,10525,8940
Saguache,8109,3853,4160,4638,6250,6173,5664
San Juan,8111,2342,3063,1700,1935,1439,1471
San Miguel,8113,5379,4700,5281,2184,3664,2693
Sedgwick,8115,971,3061,4207,5580,5294,5095
Summit,8117,2744,2003,1724,987,1754,1135
Teller,8119,29002,14351,6696,4141,6463,2754
Washington,8121,1241,6002,11208,9591,8336,7520
Weld,8123,16808,39177,54059,65097,63747,67504
Yuma,8125,1729,8499,13897,13613,12102,10827
